Source File Name:	Analyzer
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
318.75	0.0003253422
319.375	0.0003073862
320	0.0002921926
320.625	0.000268636
321.25	0.0002612868
321.875	0.0002435172
322.5	0.0002285151
323.125	0.0002201384
323.75	0.0002133854
324.375	0.0002069763
325	0.0002041155
325.625	0.0002033577
326.25	0.0002006244
326.875	0.000206831
327.5	0.0002046001
328.125	0.000215866
328.75	0.0002267119
329.375	0.0002404844
330	0.0002449381
330.625	0.0002599062
331.25	0.0002680772
331.875	0.0002826639
332.5	0.0002965808
333.125	0.0003146564
333.75	0.0003279889
334.375	0.0003427687
335	0.0003580288
335.625	0.0003754975
336.25	0.0003896395
336.875	0.0004026905
337.5	0.0004154022
338.125	0.0004307388
338.75	0.0004383958
339.375	0.0004460588
340	0.0004600473
340.625	0.0004650161
341.25	0.0004685604
341.875	0.0004696659
342.5	0.0004819325
343.125	0.0004798727
343.75	0.0004934266
344.375	0.0004923564
345	0.0005006339
345.625	0.0004995762
346.25	0.0004999063
346.875	0.0004969831
347.5	0.0005011191
348.125	0.0005023993
348.75	0.0004931851
349.375	0.000492019
350	0.0004812018
350.625	0.0004745009
351.25	0.0004646084
351.875	0.0004593224
352.5	0.0004479994
353.125	0.0004421457
353.75	0.0004311896
354.375	0.0004208122
355	0.0004103078
355.625	0.0004031626
356.25	0.0003872755
356.875	0.0003821214
357.5	0.0003672129
358.125	0.0003571087
358.75	0.0003386571
359.375	0.0003257181
360	0.0003050609
360.625	0.0002899642
361.25	0.0002781012
361.875	0.0002602605
362.5	0.0002484652
363.125	0.0002358704
363.75	0.0002263318
364.375	0.0002064235
365	0.0002051103
365.625	0.0001933429
366.25	0.0001838045
366.875	0.0001773684
367.5	0.000171878
368.125	0.0001655101
368.75	0.0001629326
369.375	0.00016416
370	0.0001691035
370.625	0.0001701969
371.25	0.0001810914
371.875	0.00018785
372.5	0.0001982824
373.125	0.000209968
373.75	0.0002235067
374.375	0.0002326706
375	0.0002406945
375.625	0.0002500147
376.25	0.000255698
376.875	0.0002651898
377.5	0.000272786
378.125	0.0002785726
378.75	0.0002891503
379.375	0.0002920738
380	0.0002984749
380.625	0.0003032754
381.25	0.0003168251
381.875	0.0003178051
382.5	0.000326491
383.125	0.0003291921
383.75	0.0003247965
384.375	0.0003245284
385	0.0003246854
385.625	0.0003192326
386.25	0.0003162655
386.875	0.0003217541
387.5	0.0003120324
388.125	0.0003041741
388.75	0.0002992476
389.375	0.000289951
390	0.0002820828
390.625	0.0002798223
391.25	0.000275188
391.875	0.0002683208
392.5	0.0002610734
393.125	0.0002459951
393.75	0.0002324744
394.375	0.0002247509
395	0.0002093728
395.625	0.0002007515
396.25	0.0001899802
396.875	0.0001749676
397.5	0.000157213
398.125	0.0001504399
398.75	0.0001359578
399.375	0.0001271832
400	0.0001220359
400.625	0.0001126615
401.25	0.0001090704
401.875	0.0001118208
402.5	0.0001126354
403.125	0.0001132026
403.75	0.0001232549
404.375	0.000127493
405	0.0001395895
405.625	0.0001531069
406.25	0.0001651109
406.875	0.0001764973
407.5	0.0001928426
408.125	0.000201088
408.75	0.0002115129
409.375	0.000226458
410	0.0002350969
410.625	0.0002442859
411.25	0.0002584429
411.875	0.0002633062
412.5	0.000279146
413.125	0.0002931986
413.75	0.0003047427
414.375	0.000310107
415	0.0003271343
415.625	0.0003298567
416.25	0.0003375094
416.875	0.0003432781
417.5	0.0003482947
418.125	0.0003550527
418.75	0.0003586735
419.375	0.000359529
420	0.0003562409
420.625	0.000361261
421.25	0.0003513228
421.875	0.0003538926
422.5	0.000356233
423.125	0.0003552371
423.75	0.0003502481
424.375	0.0003517741
425	0.000343074
425.625	0.0003359187
426.25	0.000338513
426.875	0.0003320046
427.5	0.0003210953
428.125	0.000311803
428.75	0.0002976716
429.375	0.0002841938
430	0.0002720173
430.625	0.0002586809
431.25	0.0002460404
431.875	0.000234954
432.5	0.0002209947
433.125	0.0002081059
433.75	0.0002029063
434.375	0.0001840532
435	0.0001721207
435.625	0.0001539883
436.25	0.0001417031
436.875	0.0001193718
437.5	0.0001132187
438.125	9.599318e-5
438.75	7.815743e-5
439.375	5.954204e-5
440	4.267606e-5
440.625	2.921525e-5
441.25	2.52551e-5
441.875	2.590899e-5
