Source File Name:	1,1,3
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
108	4.950105e-6
108.5	7.120762e-6
109	6.193753e-6
109.5	7.343665e-6
110	6.268698e-6
110.5	7.222748e-6
111	6.678901e-6
111.5	8.797751e-6
112	6.867218e-6
112.5	8.171838e-6
113	8.592472e-6
113.5	8.232633e-6
114	9.488806e-6
114.5	9.385771e-6
115	1.020283e-5
115.5	7.849962e-6
116	8.330764e-6
116.5	7.49813e-6
117	8.7349e-6
117.5	8.035412e-6
118	7.550279e-6
118.5	7.483809e-6
119	7.694307e-6
119.5	6.17123e-6
120	5.574701e-6
120.5	5.543939e-6
121	5.01055e-6
121.5	4.035654e-6
122	5.561231e-6
122.5	5.279201e-6
123	6.126703e-6
123.5	7.22607e-6
124	6.565756e-6
124.5	7.684434e-6
125	7.137628e-6
125.5	5.886865e-6
126	8.180483e-6
126.5	7.409985e-6
127	7.016432e-6
127.5	6.247378e-6
128	7.811784e-6
128.5	5.874871e-6
129	6.401024e-6
129.5	5.466291e-6
130	6.14714e-6
130.5	6.284498e-6
131	5.82281e-6
131.5	7.067136e-6
132	6.819211e-6
132.5	6.632202e-6
133	6.554429e-6
133.5	5.78286e-6
134	6.438345e-6
134.5	6.711332e-6
135	6.664586e-6
135.5	6.344481e-6
136	4.964757e-6
136.5	6.693906e-6
137	6.043272e-6
137.5	7.061231e-6
138	7.489862e-6
138.5	7.913678e-6
139	7.966967e-6
139.5	8.125507e-6
140	8.215181e-6
140.5	7.037759e-6
141	5.734971e-6
141.5	6.70715e-6
142	6.161203e-6
142.5	7.963281e-6
143	6.358243e-6
143.5	7.571382e-6
144	7.528387e-6
144.5	6.26234e-6
145	6.246326e-6
145.5	6.218055e-6
146	6.512593e-6
146.5	5.020641e-6
147	5.224814e-6
147.5	5.816398e-6
148	7.928696e-6
148.5	8.500421e-6
149	1.120725e-5
149.5	2.0138e-5
150	0.0001664775
150.5	1.78372e-5
151	1.227574e-5
151.5	9.880336e-6
152	7.68059e-6
152.5	6.994144e-6
153	6.469347e-6
153.5	5.915693e-6
154	5.035824e-6
154.5	5.251141e-6
155	5.19577e-6
155.5	6.570504e-6
156	8.179433e-6
156.5	7.086696e-6
157	6.296973e-6
157.5	6.422481e-6
158	6.941974e-6
158.5	5.95799e-6
159	5.540232e-6
159.5	5.279151e-6
160	6.243627e-6
160.5	4.632388e-6
161	5.85212e-6
161.5	4.782676e-6
162	6.376664e-6
162.5	6.690547e-6
163	5.284919e-6
163.5	5.271671e-6
164	6.203849e-6
164.5	5.438769e-6
165	5.159971e-6
165.5	6.486765e-6
166	7.129454e-6
166.5	6.05061e-6
167	7.526727e-6
167.5	6.423788e-6
168	7.9821e-6
168.5	6.293058e-6
169	6.236242e-6
169.5	6.324566e-6
170	5.93366e-6
170.5	6.084911e-6
171	5.045526e-6
171.5	5.411026e-6
172	4.991307e-6
172.5	5.714038e-6
173	4.42572e-6
173.5	4.371752e-6
174	4.762714e-6
174.5	5.12722e-6
175	5.49051e-6
175.5	6.798592e-6
176	5.793554e-6
176.5	7.697281e-6
177	5.579773e-6
177.5	5.721194e-6
178	6.191358e-6
178.5	6.045689e-6
179	6.334644e-6
179.5	6.75467e-6
180	6.112953e-6
180.5	7.597621e-6
181	7.081521e-6
